Bauwerke mit der Benotung 1,5 bis 1,9
TYP 	BESCHREIBUNG 	BWNR_Ne Zustands- Note
83 Verkehrszeichenbrücke 	Südtangente vor Ausfahrt Mühlburg 	K06-403 	2
84 Verkehrszeichenbrücke 	B10 / Ausfahrt Kühler Krug 	K06-404 	2,2
85 Straßenbrücke 	Straßenbrücke ü.d. Alb i.Z.d. Kriegsstraße (B 10) beim 'Kühlen Krug' ( östl. Seite )Krug 	K07-01.1 	2
86 Fußgängerbrücke 	Fußgängersteg ü.d. Alb bei KETV 	K07-04 	2,4
87 Fußgängerbrücke 	Fußgängerbrücke ü.d. Alb bei der Eisenlohrstraße 	K07-06 	2
88 Stützwand 	Stützmauer im Bereich der Abfahrtsrampe West im Zuge der Verbindung Kriegstraße (B 10) zur Südtangente (BW17) 	K07-203 	2
89 Verkehrszeichenbrücke 	Kriegsstraße Höhe Kühler Krug 	K07-401 	2,1
90 Verkehrszeichenbrücke 	Kriegsstraße Höhe Kühler Krug 	K07-402 	2,4
91 Verkehrszeichenbrücke 	Kriegsstraße / Reinhold-Frank-Straße 	K08-401 	2,2
92 Verkehrszeichenbrücke 	Kriegsstraße / Reinhold-Frank-Straße 	K08-402 	2,2
93 Verkehrszeichenbrücke 	VZB Kriegsstr Station 340 	K09-405 	2,4
94 Verkehrszeichenbrücke 	VZB Kriegsstr Station 360 	K09-407 	2,2
95 Fußgängerbrücke 	FGB ü.d. Henriette-Obermüller_Straße 	K10-05 	2,3
96 Verkehrszeichenbrücke 	VZB Ludwig-Erhard-Allee Station 1210 (B10) 	K10-407 	2,4
97 Fußgängerbrücke 	FGB Esplanade -KA_Südost 	K11-02 	2,3
98 sonstiges Bauwerk 	Kabelbrücke im Bereich Schlachthof (ohne Rahmen) 	K11-303 	2,4
99 Straßenbrücke 	Straßenbrücke ü.d. Hagsfelder Gütergleise i.Z.d. Durlacher Allee 	K12-03 	1,9 bis 2,3
100 Verkehrszeichenbrücke 	Durlacher Allee vor Weinweg 	K12-401 	2,4
101 Verkehrszeichenbrücke 	Weinweg-Elfmorgenbruchstraße 	K12-402 	2,2
102 Verkehrszeichenbrücke 	Elfmorgenbruchstraße / Weinweg 	K12-403 	2,3
103 Verkehrszeichenbrücke 	Durlacher Allee 	K12-404 	2,2
104 Straßenbrücke 	Straßenbrücke ü.d. K9659 i.Z.d. Durlacher Allee 	K13-05 	2,3
105 Fußgänger-UF 	Fußgängerunterführung Umgehungsstraße Durlach 	K13-06 	1,0 bis 2,0
106 Verkehrszeichenbrücke 	Durlacher Allee vor Umgehung Durlach 	K13-401 	2,4
107 Verkehrszeichenbrücke 	HGW VZB Verbindungsstraße Parkplatz -Real 	K13-402 	2,4
108 Fußgängerbrücke 	Wegbrücke ü.d. Pfinz im Gewann Lenzenhub 	K14-01 	2,4
109 Straßenbrücke 	Straßenbrücke ü.d. Bundesbahn i.Z.d. Hubstraße 	K14-04 	2,4
